level_rpm,index,measured,status,replica,scheduled_offset_s,done_offset_s,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
5.3933,43,1,ok,-1,420.9932,435.8464,0,14.8533,0.0012,-,-,-,-,-,-,-,14.8232,0.0288,
5.3933,44,1,ok,-1,421.9183,441.3644,0,19.4462,0.0013,-,-,-,-,-,-,-,19.4238,0.0211,
5.3933,45,1,ok,-1,424.8663,446.8970,0,22.0307,0.0010,-,-,-,-,-,-,-,22.0038,0.0259,
5.3933,46,1,ok,-1,426.0508,452.4165,0,26.3657,0.0019,-,-,-,-,-,-,-,26.3442,0.0196,
5.3933,47,1,ok,-1,429.6741,457.9547,0,28.2805,0.0017,-,-,-,-,-,-,-,28.2559,0.0230,
5.3933,48,1,ok,-1,440.9073,463.5010,0,22.5936,0.0003,-,-,-,-,-,-,-,22.5719,0.0214,
5.3933,49,1,ok,-1,445.9566,469.0439,0,23.0873,0.0016,-,-,-,-,-,-,-,23.0588,0.0269,
5.3933,50,1,ok,-1,451.0999,474.5820,0,23.4821,0.0008,-,-,-,-,-,-,-,23.4517,0.0296,
5.3933,51,1,ok,-1,453.7153,480.1155,0,26.4002,0.0017,-,-,-,-,-,-,-,26.3777,0.0208,
5.3933,52,1,ok,-1,457.1705,485.6696,0,28.4991,0.0004,-,-,-,-,-,-,-,28.4731,0.0256,
5.3933,53,1,ok,-1,487.8658,493.4490,0,5.5832,0.0012,-,-,-,-,-,-,-,5.5554,0.0266,
5.3933,54,1,ok,-1,499.4827,505.0582,0,5.5755,0.0005,-,-,-,-,-,-,-,5.5498,0.0252,
5.3933,55,1,ok,-1,509.9333,515.5075,0,5.5743,0.0023,-,-,-,-,-,-,-,5.5479,0.0241,
5.3933,56,1,ok,-1,512.0214,521.0447,0,9.0233,0.0015,-,-,-,-,-,-,-,9.0005,0.0213,
5.3933,57,1,ok,-1,526.5517,532.1151,0,5.5634,0.0008,-,-,-,-,-,-,-,5.5429,0.0198,
5.3933,58,1,ok,-1,528.5365,537.6587,0,9.1222,0.0014,-,-,-,-,-,-,-,9.0881,0.0327,
5.3933,59,1,ok,-1,533.8449,543.2000,0,9.3551,0.0012,-,-,-,-,-,-,-,9.3236,0.0303,
5.3933,60,1,ok,-1,584.5590,590.0876,0,5.5286,0.0013,-,-,-,-,-,-,-,5.5052,0.0222,
5.3933,61,1,ok,-1,595.9247,601.4538,0,5.5290,0.0015,-,-,-,-,-,-,-,5.5078,0.0198,
5.3933,62,1,ok,-1,604.9812,610.5288,0,5.5476,0.0014,-,-,-,-,-,-,-,5.5218,0.0244,
5.3933,63,1,ok,-1,617.8189,623.3624,0,5.5435,0.0007,-,-,-,-,-,-,-,5.5171,0.0257,
5.3933,64,1,ok,-1,638.4063,643.9446,0,5.5383,0.0008,-,-,-,-,-,-,-,5.5135,0.0240,
5.3933,65,1,ok,-1,655.0504,660.5898,0,5.5394,0.0009,-,-,-,-,-,-,-,5.5183,0.0202,
5.3933,66,1,ok,-1,657.9443,666.0982,0,8.1540,0.0015,-,-,-,-,-,-,-,8.1293,0.0232,
5.3933,67,1,ok,-1,658.3072,671.5960,0,13.2887,0.0002,-,-,-,-,-,-,-,13.2712,0.0173,
5.3933,68,1,ok,-1,662.5236,677.1255,0,14.6020,0.0004,-,-,-,-,-,-,-,14.5804,0.0211,
5.3933,69,1,ok,-1,665.9903,682.6592,0,16.6688,0.0016,-,-,-,-,-,-,-,16.6413,0.0260,
5.3933,70,1,ok,-1,668.6266,688.1820,0,19.5555,0.0005,-,-,-,-,-,-,-,19.5299,0.0251,
5.3933,71,1,ok,-1,700.4785,706.0328,0,5.5543,0.0007,-,-,-,-,-,-,-,5.5272,0.0264,
5.3933,72,1,ok,-1,723.7345,729.2757,0,5.5412,0.0005,-,-,-,-,-,-,-,5.5172,0.0235,
5.3933,73,1,ok,-1,727.9382,734.7773,0,6.8391,0.0007,-,-,-,-,-,-,-,6.8190,0.0194,
5.3933,74,1,ok,-1,739.7916,745.3348,0,5.5431,0.0009,-,-,-,-,-,-,-,5.5167,0.0255,
5.3933,75,1,ok,-1,745.3938,750.9412,0,5.5474,0.0001,-,-,-,-,-,-,-,5.5258,0.0215,
5.3933,76,1,ok,-1,772.7588,778.2941,0,5.5353,0.0006,-,-,-,-,-,-,-,5.5078,0.0269,
5.3933,77,1,ok,-1,779.5902,785.1270,0,5.5368,0.0004,-,-,-,-,-,-,-,5.5128,0.0236,
5.3933,78,1,ok,-1,783.0136,790.6315,0,7.6179,0.0010,-,-,-,-,-,-,-,7.5990,0.0179,
5.3933,79,1,ok,-1,786.1641,796.1562,0,9.9921,0.0011,-,-,-,-,-,-,-,9.9679,0.0232,
5.3933,80,1,ok,-1,795.3321,801.6707,0,6.3386,0.0016,-,-,-,-,-,-,-,6.3149,0.0221,
5.3933,81,1,ok,-1,798.7232,807.1949,0,8.4717,0.0009,-,-,-,-,-,-,-,8.4452,0.0256,
5.3933,82,1,ok,-1,808.4962,814.0647,0,5.5685,0.0002,-,-,-,-,-,-,-,5.5458,0.0225,
5.3933,83,1,ok,-1,833.8726,839.4052,0,5.5326,0.0010,-,-,-,-,-,-,-,5.5122,0.0194,
5.3933,84,1,ok,-1,839.5444,845.1055,0,5.5611,0.0011,-,-,-,-,-,-,-,5.5366,0.0233,
5.3933,85,1,ok,-1,842.2988,850.6199,0,8.3211,0.0028,-,-,-,-,-,-,-,8.2961,0.0222,
5.3933,86,1,ok,-1,909.1219,914.6638,0,5.5419,0.0026,-,-,-,-,-,-,-,5.5130,0.0264,
5.3933,87,1,ok,-1,917.0471,922.5785,0,5.5314,0.0014,-,-,-,-,-,-,-,5.5027,0.0273,
5.3933,88,1,ok,-1,918.1075,928.0738,0,9.9663,0.0014,-,-,-,-,-,-,-,9.9411,0.0239,
5.3933,89,1,ok,-1,918.6444,933.5803,0,14.9360,0.0004,-,-,-,-,-,-,-,14.9101,0.0255,
5.3933,90,1,ok,-1,919.9364,939.0842,0,19.1477,0.0010,-,-,-,-,-,-,-,19.1266,0.0201,
5.3933,91,1,ok,-1,930.9209,944.6038,0,13.6829,0.0012,-,-,-,-,-,-,-,13.6597,0.0221,
