level_rpm,index,measured,status,replica,scheduled_offset_s,done_offset_s,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
1.8158,0,0,ok,-1,0.0000,16.4585,0,16.4585,0.0018,-,-,-,-,-,-,-,16.4337,0.0230,
1.8158,1,0,ok,-1,0.8370,32.9079,0,32.0710,0.0012,-,-,-,-,-,-,-,32.0500,0.0198,
1.8158,2,0,ok,-1,11.4647,49.3869,0,37.9222,0.0004,-,-,-,-,-,-,-,37.8985,0.0233,
1.8158,3,0,ok,-1,19.8111,65.8743,0,46.0632,0.0010,-,-,-,-,-,-,-,46.0389,0.0232,
1.8158,4,0,ok,-1,63.8781,82.3853,0,18.5072,0.0016,-,-,-,-,-,-,-,18.4766,0.0290,
1.8158,5,0,ok,-1,101.1903,117.6733,0,16.4831,0.0013,-,-,-,-,-,-,-,16.4628,0.0190,
1.8158,6,0,ok,-1,174.7884,191.2177,0,16.4293,0.0012,-,-,-,-,-,-,-,16.4023,0.0258,
1.8158,7,0,ok,-1,177.7938,207.6292,0,29.8354,0.0005,-,-,-,-,-,-,-,29.8122,0.0228,
1.8158,8,0,ok,-1,195.9033,224.0937,0,28.1903,0.0006,-,-,-,-,-,-,-,28.1628,0.0270,
1.8158,9,0,ok,-1,196.9029,240.5654,0,43.6624,0.0013,-,-,-,-,-,-,-,43.6363,0.0249,
1.8158,10,1,ok,-1,205.0554,257.0551,0,51.9997,0.0010,-,-,-,-,-,-,-,51.9743,0.0244,
1.8158,11,1,ok,-1,228.3154,273.5608,0,45.2454,0.0019,-,-,-,-,-,-,-,45.2110,0.0325,
1.8158,12,1,dropped,-1,229.2041,289.2054,0,inf,0.0014,-,-,-,-,-,-,-,-,-,
1.8158,13,1,dropped,-1,236.5297,296.5315,0,inf,0.0003,-,-,-,-,-,-,-,-,-,
1.8158,14,1,ok,-1,271.2089,323.1024,0,51.8935,0.0015,-,-,-,-,-,-,-,51.8646,0.0273,
1.8158,15,1,ok,-1,297.2253,339.6295,0,42.4042,0.0011,-,-,-,-,-,-,-,42.3728,0.0303,
1.8158,16,1,cancelled,-1,305.4541,339.6296,0,inf,0.0016,-,-,-,-,-,-,-,-,-,
1.8158,17,1,cancelled,-1,334.8567,339.6296,0,inf,0.0011,-,-,-,-,-,-,-,-,-,
1.8158,18,1,not_sent,-1,389.6348,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,19,1,not_sent,-1,389.8502,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,20,1,not_sent,-1,444.0079,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,21,1,not_sent,-1,483.5875,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,22,1,not_sent,-1,497.3302,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,23,1,not_sent,-1,502.9142,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,24,1,not_sent,-1,607.0525,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,25,1,not_sent,-1,620.6127,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,26,1,not_sent,-1,623.8289,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,27,1,not_sent,-1,627.1901,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,28,1,not_sent,-1,689.3308,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,29,1,not_sent,-1,719.9178,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,30,1,not_sent,-1,774.2990,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,31,1,not_sent,-1,817.5316,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,32,1,not_sent,-1,842.9212,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,33,1,not_sent,-1,962.4148,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,34,1,not_sent,-1,978.1329,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,35,1,not_sent,-1,1004.6688,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,36,1,not_sent,-1,1063.1056,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,37,1,not_sent,-1,1094.9498,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,38,1,not_sent,-1,1160.3230,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,39,1,not_sent,-1,1188.7809,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,40,1,not_sent,-1,1229.0722,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,41,1,not_sent,-1,1230.6222,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,42,1,not_sent,-1,1239.1686,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,43,1,not_sent,-1,1250.4573,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,44,1,not_sent,-1,1253.2051,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,45,1,not_sent,-1,1261.9616,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,46,1,not_sent,-1,1265.4799,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,47,1,not_sent,-1,1276.2420,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,48,1,not_sent,-1,1309.6075,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,49,1,not_sent,-1,1324.6050,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,50,1,not_sent,-1,1339.8819,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,51,1,not_sent,-1,1347.6505,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,52,1,not_sent,-1,1357.9132,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,53,1,not_sent,-1,1449.0862,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,54,1,not_sent,-1,1483.5913,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,55,1,not_sent,-1,1514.6321,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,56,1,not_sent,-1,1520.8346,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,57,1,not_sent,-1,1563.9932,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8158,58,1,not_sent,-1,1569.8887,-,0,inf,-,-,-,-,-,-,-,-,-,-,
