level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
1.8194,0,0,ok,-1,0,16.4643,0.0009,-,-,-,-,-,-,-,16.4398,0.0236,
1.8194,1,0,ok,-1,0,32.0495,0.0009,-,-,-,-,-,-,-,32.0292,0.0194,
1.8194,2,1,ok,-1,0,37.8974,0.0020,-,-,-,-,-,-,-,37.8717,0.0237,
1.8194,3,1,ok,-1,0,46.0425,0.0012,-,-,-,-,-,-,-,46.0182,0.0231,
1.8194,4,1,cancelled,-1,0,inf,0.0008,-,-,-,-,-,-,-,-,-,
1.8194,5,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,6,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,7,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,8,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,9,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,10,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,11,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,12,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,13,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,14,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,15,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,16,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,17,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,18,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,19,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,20,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8194,21,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,-,-,
