level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
12.5205,0,0,ok,-1,0,2.3885,0.0004,-,-,-,-,-,-,-,2.3610,0.0270,
12.5205,1,0,ok,-1,0,4.6330,0.0007,-,-,-,-,-,-,-,4.6051,0.0271,
12.5205,2,1,ok,-1,0,5.4501,0.0014,-,-,-,-,-,-,-,5.4223,0.0263,
12.5205,3,1,ok,-1,0,6.5977,0.0010,-,-,-,-,-,-,-,6.5693,0.0274,
12.5205,4,1,ok,-1,0,2.5587,0.0020,-,-,-,-,-,-,-,2.5300,0.0266,
12.5205,5,1,ok,-1,0,2.3801,0.0015,-,-,-,-,-,-,-,2.3520,0.0266,
12.5205,6,1,ok,-1,0,2.3760,0.0008,-,-,-,-,-,-,-,2.3489,0.0262,
12.5205,7,1,ok,-1,0,4.2902,0.0008,-,-,-,-,-,-,-,4.2626,0.0268,
12.5205,8,1,ok,-1,0,4.0101,0.0006,-,-,-,-,-,-,-,3.9850,0.0246,
12.5205,9,1,ok,-1,0,6.2259,0.0010,-,-,-,-,-,-,-,6.1986,0.0263,
12.5205,10,1,ok,-1,0,7.4152,0.0012,-,-,-,-,-,-,-,7.3866,0.0274,
12.5205,11,1,ok,-1,0,6.4088,0.0004,-,-,-,-,-,-,-,6.3821,0.0262,
12.5205,12,1,ok,-1,0,8.6432,0.0009,-,-,-,-,-,-,-,8.6168,0.0256,
12.5205,13,1,ok,-1,0,9.9535,0.0008,-,-,-,-,-,-,-,9.9260,0.0267,
12.5205,14,1,ok,-1,0,7.2846,0.0007,-,-,-,-,-,-,-,7.2571,0.0268,
12.5205,15,1,ok,-1,0,5.8724,0.0006,-,-,-,-,-,-,-,5.8447,0.0271,
12.5205,16,1,ok,-1,0,7.0500,0.0010,-,-,-,-,-,-,-,7.0244,0.0246,
12.5205,17,1,ok,-1,0,5.1518,0.0013,-,-,-,-,-,-,-,5.1248,0.0258,
12.5205,18,1,ok,-1,0,2.3882,0.0005,-,-,-,-,-,-,-,2.3621,0.0256,
12.5205,19,1,ok,-1,0,4.7138,0.0005,-,-,-,-,-,-,-,4.6874,0.0260,
12.5205,20,1,ok,-1,0,2.3880,0.0005,-,-,-,-,-,-,-,2.3624,0.0251,
12.5205,21,1,ok,-1,0,2.3763,0.0006,-,-,-,-,-,-,-,2.3504,0.0252,
