level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
12.5129,0,0,ok,-1,0,2.4009,0.0016,-,-,-,-,-,-,-,2.3725,0.0267,
12.5129,1,0,ok,-1,0,4.6620,0.0008,-,-,-,-,-,-,-,4.6339,0.0272,
12.5129,2,1,ok,-1,0,5.4951,0.0015,-,-,-,-,-,-,-,5.4672,0.0264,
12.5129,3,1,ok,-1,0,6.6616,0.0014,-,-,-,-,-,-,-,6.6332,0.0270,
12.5129,4,1,ok,-1,0,2.6355,0.0006,-,-,-,-,-,-,-,2.6077,0.0272,
12.5129,5,1,ok,-1,0,2.4058,0.0002,-,-,-,-,-,-,-,2.3772,0.0284,
12.5129,6,1,ok,-1,0,2.4030,0.0010,-,-,-,-,-,-,-,2.3755,0.0265,
12.5129,7,1,ok,-1,0,4.3485,0.0009,-,-,-,-,-,-,-,4.3208,0.0268,
12.5129,8,1,ok,-1,0,4.0896,0.0008,-,-,-,-,-,-,-,4.0647,0.0241,
12.5129,9,1,ok,-1,0,6.3161,0.0011,-,-,-,-,-,-,-,6.2888,0.0262,
12.5129,10,1,ok,-1,0,7.5249,0.0017,-,-,-,-,-,-,-,7.4963,0.0268,
12.5129,11,1,ok,-1,0,6.5210,0.0010,-,-,-,-,-,-,-,6.4947,0.0253,
12.5129,12,1,ok,-1,0,8.7763,0.0004,-,-,-,-,-,-,-,8.7499,0.0260,
12.5129,13,1,ok,-1,0,10.0992,0.0006,-,-,-,-,-,-,-,10.0715,0.0271,
12.5129,14,1,ok,-1,0,7.4451,0.0005,-,-,-,-,-,-,-,7.4179,0.0267,
12.5129,15,1,ok,-1,0,6.0439,0.0018,-,-,-,-,-,-,-,6.0168,0.0254,
12.5129,16,1,ok,-1,0,7.2372,0.0011,-,-,-,-,-,-,-,7.2116,0.0245,
12.5129,17,1,ok,-1,0,5.3460,0.0011,-,-,-,-,-,-,-,5.3195,0.0254,
12.5129,18,1,ok,-1,0,2.4102,0.0014,-,-,-,-,-,-,-,2.3839,0.0249,
12.5129,19,1,ok,-1,0,4.7612,0.0004,-,-,-,-,-,-,-,4.7351,0.0257,
12.5129,20,1,ok,-1,0,2.4080,0.0018,-,-,-,-,-,-,-,2.3813,0.0250,
12.5129,21,1,ok,-1,0,2.4074,0.0007,-,-,-,-,-,-,-,2.3812,0.0255,
