script,runtime,timestamp,server,cpu,gpu,server_sku,cpu_sku,gpu_sku,cpu_cores,model,dataset,device,dtype,samples,batch_size,resolution,steps,warmup,seed,threads,compile,compile_detail,cpu_offload,batched,loaded_dtype,diffusion_batch_size,sla_seconds,sla_percentile,num_shards,gpu_placement,workload,sla_ms,think_time_s,measure_s,batch_wait_ms,pre_workers,processor,images,compute_s_max,compute_s_sum,images_per_second,avg_ms_per_image,avg_s_per_image,denoising_steps_per_s,top1_correct,top1_accuracy,max_qps,max_concurrent_users,max_concurrent_inflight,requests_measured,p50_ms,p95_ms,p99_ms,max_ms,mean_batch_size,queue_depth_max,p95_drift,harness_lag_ms,preprocess_ms,queue_wait_ms,inference_ms,cpu_logical_count,cpu_cores_busy_mean,cpu_cores_busy_max,proc_cpu_pct_mean,sys_cpu_pct_mean,rss_gib_max,threads_max,gpu_util_pct_mean,gpu_mem_util_pct_mean,gpu_mem_used_gib_max,gpu_power_w_mean,gpu_power_w_max,gpu_sm_clock_mhz_mean,gpu_temp_c_max,host_source,shard_images,shard_compute_s,shard_images_per_second,files
vit_benchmark,diffusers,20260901_170920,SR630 V4,6740P,L4,,,,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,2000,8,,,3,,86,enabled,,,,,,,,4,,,,,,,,,2000,11.1924,42.1421,178.6927,5.596,0.0056,,1619,0.8095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,11.1234|10.8304|11.1924|8.9959,44.950|46.166|44.673|55.581,vit_benchmark_google_vit-base-patch16-224_20260901_170920_shard0of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_170920_shard1of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_170920_shard2of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_170920_shard3of4.txt
vit_benchmark,diffusers,20260901_171013,SR630 V4,6740P,L4,,,,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,2000,8,,,3,,86,disabled,,,,,,,,2,,,,,,,,,2000,0.3176,0.6351,6297.2292,0.159,0.0002,,1620,0.8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,1000|1000,0.3175|0.3176,3149.171|3148.932,vit_benchmark_google_vit-base-patch16-224_20260901_171013_shard0of2.txt|vit_benchmark_google_vit-base-patch16-224_20260901_171013_shard1of2.txt
vit_benchmark,diffusers,20260901_171353,SR630 V4,6740P,L4,,,,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cpu,float32,2000,32,,,3,,86,disabled,,,,,,,,4,,,,,,,,,2000,10.4554,41.3355,191.2887,5.228,0.0052,,1623,0.8115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,10.4554|10.4261|10.4437|10.0103,47.822|47.956|47.876|49.949,vit_benchmark_google_vit-base-patch16-224_20260901_171353_shard0of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_171353_shard1of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_171353_shard2of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_171353_shard3of4.txt
vit_benchmark,diffusers,20260901_171417,SR630 V4,6740P,L4,,,,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,2000,32,,,3,,86,enabled,,,,,,,,4,,,,,,,,,2000,5.3331,21.1426,375.0164,2.667,0.0027,,1619,0.8095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,5.2981|5.3331|5.2383|5.2731,94.374|93.753|95.451|94.821,vit_benchmark_google_vit-base-patch16-224_20260901_171417_shard0of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_171417_shard1of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_171417_shard2of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_171417_shard3of4.txt
vit_benchmark,diffusers,20260901_171449,SR630 V4,6740P,L4,,,,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,2000,32,,,3,,86,disabled,,,,,,,,2,,,,,,,,,2000,0.1740,0.3469,11494.2529,0.087,0.0001,,1620,0.8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,1000|1000,0.1740|0.1729,5745.910|5783.328,vit_benchmark_google_vit-base-patch16-224_20260901_171449_shard0of2.txt|vit_benchmark_google_vit-base-patch16-224_20260901_171449_shard1of2.txt
vit_benchmark,diffusers,20260901_173009,SR630 V4,6740P,L4,,,,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cpu,float32,2000,64,,,3,,86,disabled,,,,,,,,4,,,,,,,,,2000,12.1219,47.7894,164.9906,6.061,0.0061,,1623,0.8115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,11.8567|12.0381|12.1219|11.7727,42.170|41.535|41.248|42.471,vit_benchmark_google_vit-base-patch16-224_20260901_173009_shard0of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_173009_shard1of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_173009_shard2of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_173009_shard3of4.txt
vit_benchmark,diffusers,20260901_173036,SR630 V4,6740P,L4,,,,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,2000,64,,,3,,86,enabled,,,,,,,,4,,,,,,,,,2000,4.2080,16.4787,475.2852,2.104,0.0021,,1619,0.8095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,4.2080|4.0648|4.1143|4.0916,118.822|123.009|121.527|122.202,vit_benchmark_google_vit-base-patch16-224_20260901_173036_shard0of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_173036_shard1of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_173036_shard2of4.txt|vit_benchmark_google_vit-base-patch16-224_20260901_173036_shard3of4.txt
vit_benchmark,diffusers,20260901_173107,SR630 V4,6740P,L4,,,,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,2000,64,,,3,,86,disabled,,,,,,,,2,,,,,,,,,2000,0.1607,0.3212,12445.5507,0.080,0.0001,,1620,0.8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,1000|1000,0.1605|0.1607,6228.954|6223.187,vit_benchmark_google_vit-base-patch16-224_20260901_173107_shard0of2.txt|vit_benchmark_google_vit-base-patch16-224_20260901_173107_shard1of2.txt
vit_benchmark,diffusers,20260901_173410,SR630 V4,6740P,L4,,,,,google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,float32,2000,64,,,3,,86,disabled,,,,,,,,4,,,,,,,,,2000,48.5756,192.9692,41.1729,24.288,0.0243,,1653,0.8265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,48.4463|47.4437|48.5036|48.5756,10.321|10.539|10.309|10.293,vit_benchmark_google_vit-large-patch16-224_20260901_173410_shard0of4.txt|vit_benchmark_google_vit-large-patch16-224_20260901_173410_shard1of4.txt|vit_benchmark_google_vit-large-patch16-224_20260901_173410_shard2of4.txt|vit_benchmark_google_vit-large-patch16-224_20260901_173410_shard3of4.txt
vit_benchmark,diffusers,20260901_173541,SR630 V4,6740P,L4,,,,,google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,2000,64,,,3,,86,enabled,,,,,,,,4,,,,,,,,,2000,11.0492,43.5569,181.0086,5.525,0.0055,,1652,0.8260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assumed,500|500|500|500,11.0492|10.9896|10.6885|10.8296,45.252|45.497|46.779|46.170,vit_benchmark_google_vit-large-patch16-224_20260901_173541_shard0of4.txt|vit_benchmark_google_vit-large-patch16-224_20260901_173541_shard1of4.txt|vit_benchmark_google_vit-large-patch16-224_20260901_173541_shard2of4.txt|vit_benchmark_google_vit-large-patch16-224_20260901_173541_shard3of4.txt
