script,runtime,timestamp,server,cpu,gpu,server_sku,cpu_sku,gpu_sku,cpu_cores,model,dataset,device,dtype,quant,quant_detail,mode,replicas_raw,samples,batch_size,resolution,steps,warmup,seed,threads,compile,compile_detail,cpu_offload,batched,loaded_dtype,diffusion_batch_size,sla_seconds,sla_percentile,num_shards,gpu_placement,workload,sla_ms,think_time_s,measure_s,batch_wait_ms,pre_workers,processor,selftest,precisions_swept,devices,tf32,cpu_bind,requests_per_level,warmup_requests,calibrate_generations,drop_after_factor,early_stop,backend,vllm_pipeline,vllm_extra_args,vllm_command,images,compute_s_max,compute_s_sum,images_per_second,images_per_second_per_w,best_batch_size,best_replicas,ms_per_image_per_replica,measured_s,cpu_launch_ms,gpu_ms,bound_by,power_w_mean,power_source,avg_ms_per_image,avg_s_per_image,denoising_steps_per_s,denoise_s_per_image,other_s_per_image,denoise_pct,top1_correct,top1_accuracy,max_qps,max_requests_per_minute,max_images_per_hour,rho_at_capacity,service_capacity_rpm,rho_measured,steady_state_mean_ms,max_concurrent_users,users_think_0s,users_think_1s,users_think_2s,users_think_5s,users_think_10s,users_think_15s,users_think_30s,users_think_60s,max_concurrent_inflight,goodput_rps,sla_attainment_pct,verdict,sweep_note,requests_measured,requests_dropped,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,predicted_mean_ms,mean_batch_size,queue_depth_max,p95_drift,calibrated_mu_rps,calibrated_service_s,service_p95_s,service_cv2,harness_lag_ms,preprocess_ms,queue_wait_ms,inference_ms,ipc_ms,text_encode_ms,denoise_ms,vae_decode_ms,jpeg_encode_ms,server_time_ms,http_overhead_ms,resource_samples,replica_rss_gib_max,gpu_peak_alloc_gib,joules_per_image,cpu_logical_count,cpu_cores_busy_mean,sys_cores_busy_mean,sys_cores_busy_max,cpu_power_w_mean,cpu_cores_busy_max,proc_cpu_pct_mean,sys_cpu_pct_mean,rss_gib_max,threads_max,gpu_util_pct_mean,gpu_mem_util_pct_mean,gpu_mem_used_gib_max,gpu_power_w_mean,gpu_power_w_max,gpu_sm_clock_mhz_mean,gpu_temp_c_max,complete,host_source,shard_images,shard_compute_s,shard_images_per_second,files
server_vit_benchmark,diffusers,20260922_201957,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",google/vit-base-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,2,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,disabled,,,,,,,,,,,,,,114,,,0.950,,,,,,,,,,,52.962,0.0530,,,,,96,0.8421,0.96,,,,,,,4.8,0.1,1.0,2.0,4.8,9.6,,,,0.05,,,,,114,,51.71,,58.12,86.19,93.75,,1.00,1,0.873,,,,,1.76,3.45,5.24,43.78,,,,,,,,473,,,,96,0.09,,,,1.16,9.5,0.1,1.67,79,,,,,,,,yes,logged,114,,0.950,server_vit_google_vit-base-patch16-224_interactive_20260922_201957.txt
server_vit_benchmark,diffusers,20260922_221531,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,2,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,disabled,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,SLA unmet at every level tried; this cell cannot serve a single user inside the budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_vit_google_vit-large-patch16-224_interactive_20260922_221531.txt
server_vit_benchmark,diffusers,20260922_221805,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,2,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,disabled,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,SLA unmet at every level tried; this cell cannot serve a single user inside the budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_vit_facebook_dinov2-giant_interactive_20260922_221805.txt
server_vit_benchmark,diffusers,20260922_222306,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,2,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,disabled,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,SLA unmet at every level tried; this cell cannot serve a single user inside the budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_vit_google_vit-large-patch16-224_interactive_20260922_222306.txt
server_vit_benchmark,diffusers,20260922_232413,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,2,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,disabled,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,SLA unmet at every level tried; this cell cannot serve a single user inside the budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_vit_google_vit-large-patch16-224_interactive_20260922_232413.txt
server_vit_benchmark,diffusers,20260922_232708,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,2,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,disabled,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,SLA unmet at every level tried; this cell cannot serve a single user inside the budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_vit_google_vit-large-patch16-224_interactive_20260922_232708.txt
server_vit_benchmark,diffusers,20260922_233132,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,2,enabled,,,,,,0.1000,95,1,,interactive,100,5,600,5,12,fast,disabled,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,SLA unmet at every level tried; this cell cannot serve a single user inside the budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_vit_google_vit-large-patch16-224_interactive_20260922_233132.txt
server_vit_benchmark,diffusers,20260922_234643,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,16,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,8,fast,disabled,,,,,,,,,,,,,,104,,,0.867,,,,,,,,,,,55.121,0.0551,,,,,86,0.8269,0.88,,,,,,,4.4,0.0,0.9,1.8,4.4,8.8,,,,0.05,,,,,104,,53.78,,59.87,90.56,97.01,,1.00,1,1.036,,,,,1.09,3.84,5.18,45.79,,,,,,,,472,,,,96,0.75,,,,8.50,74.9,0.8,2.18,146,,,,,,,,yes,logged,104,,0.867,server_vit_google_vit-large-patch16-224_interactive_20260922_234643.txt
server_vit_benchmark,diffusers,20260923_000017,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,32,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,disabled,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,SLA unmet at every level tried; this cell cannot serve a single user inside the budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_vit_google_vit-large-patch16-224_interactive_20260923_000017.txt
server_vit_benchmark,diffusers,20260923_000507,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,40,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,disabled,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,SLA unmet at every level tried; this cell cannot serve a single user inside the budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_vit_google_vit-large-patch16-224_interactive_20260923_000507.txt
server_vit_benchmark,diffusers,20260923_000957,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,32,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,disabled,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,SLA unmet at every level tried; this cell cannot serve a single user inside the budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_vit_facebook_dinov2-giant_interactive_20260923_000957.txt
server_vit_benchmark,diffusers,20260923_001319,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",google/vit-large-patch16-224,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,40,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,disabled,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,SLA unmet at every level tried; this cell cannot serve a single user inside the budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_vit_google_vit-large-patch16-224_interactive_20260923_001319.txt
server_vit_benchmark,diffusers,20260923_003653,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,8,enabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,disabled,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,SLA unmet at every level tried; this cell cannot serve a single user inside the budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_vit_facebook_dinov2-giant_interactive_20260923_003653.txt
server_vit_benchmark,diffusers,20260923_124834,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,8,enabled,,,,,,0.5000,95,1,,interactive,500,5,240,5,8,fast,disabled,,,,,,,,,,,,,,391,,,1.629,,,,,,,,,,,271.425,0.2714,,,,,,,1.76,,,,,,,9.3,0.5,2.2,4.0,9.3,18.0,,,,0.48,,,,,391,,213.40,,479.70,692.71,935.64,,1.15,3,0.831,,,,,1.53,4.68,176.25,347.46,,,,,,,,959,,,,96,2.70,,,,8.35,270.3,2.8,3.81,103,,,,,,,,yes,logged,391,,1.629,server_vit_facebook_dinov2-giant_interactive_20260923_124834.txt
server_vit_benchmark,diffusers,20260923_174416,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,16,enabled,,,,,,0.5000,95,1,,interactive,500,5,240,5,8,fast,disabled,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,SLA unmet at every level tried; this cell cannot serve a single user inside the budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_vit_facebook_dinov2-giant_interactive_20260923_174416.txt
server_vit_benchmark,diffusers,20260923_175426,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",facebook/dinov2-giant,ILSVRC/imagenet-1k,cpu,bfloat16,disabled,,,,256,32,,,5,42,8,enabled,,,,,,0.5000,95,1,,interactive,500,5,240,5,16,fast,disabled,,,,,,,,,,,,,,391,,,1.629,,,,,,,,,,,272.726,0.2727,,,,,,,1.76,,,,,,,9.3,0.5,2.2,4.0,9.3,18.0,,,,0.48,,,,,391,,213.02,,488.94,730.79,900.08,,1.15,3,0.800,,,,,1.53,4.50,175.83,353.59,,,,,,,,958,,,,96,2.70,,,,8.50,269.8,2.8,3.77,103,,,,,,,,yes,logged,391,,1.629,server_vit_facebook_dinov2-giant_interactive_20260923_175426.txt
